,TCGA-02-0047,TCGA-02-0055,TCGA-02-2483,TCGA-02-2485,TCGA-02-2486,TCGA-06-0125,TCGA-06-0129,TCGA-06-0130,TCGA-06-0132,TCGA-06-0141,TCGA-06-0157,TCGA-06-0158,TCGA-06-0168,TCGA-06-0174,TCGA-06-0184,TCGA-06-0187,TCGA-06-0190,TCGA-06-0210,TCGA-06-0211,TCGA-06-0219,TCGA-06-0238,TCGA-06-0644,TCGA-06-0645,TCGA-06-0646,TCGA-06-0649,TCGA-06-0686,TCGA-06-0743,TCGA-06-0744,TCGA-06-0745,TCGA-06-0747,TCGA-06-0749,TCGA-06-0750,TCGA-06-0878,TCGA-06-0882,TCGA-06-1804,TCGA-06-2557,TCGA-06-2558,TCGA-06-2559,TCGA-06-2561,TCGA-06-2562,TCGA-06-2563,TCGA-06-2564,TCGA-06-2565,TCGA-06-2567,TCGA-06-2569,TCGA-06-2570,TCGA-06-5408,TCGA-06-5410,TCGA-06-5411,TCGA-06-5412,TCGA-06-5413,TCGA-06-5414,TCGA-06-5415,TCGA-06-5416,TCGA-06-5417,TCGA-06-5418,TCGA-06-5856,TCGA-06-5858,TCGA-06-5859,TCGA-08-0386,TCGA-12-0616,TCGA-12-0618,TCGA-12-0619,TCGA-12-0821,TCGA-12-1597,TCGA-12-3650,TCGA-12-3652,TCGA-12-3653,TCGA-12-5295,TCGA-12-5299,TCGA-14-0781,TCGA-14-0787,TCGA-14-0789,TCGA-14-0790,TCGA-14-0817,TCGA-14-0871,TCGA-14-1034,TCGA-14-1823,TCGA-14-1825,TCGA-14-1829,TCGA-14-2554,TCGA-15-0742,TCGA-16-0846,TCGA-16-1045,TCGA-19-1390,TCGA-19-1787,TCGA-19-2619,TCGA-19-2620,TCGA-19-2624,TCGA-19-2625,TCGA-19-2629,TCGA-19-4065,TCGA-19-5960,TCGA-26-1442,TCGA-26-5132,TCGA-26-5133,TCGA-26-5134,TCGA-26-5135,TCGA-26-5136,TCGA-26-5139,TCGA-27-1830,TCGA-27-1831,TCGA-27-1832,TCGA-27-1834,TCGA-27-1835,TCGA-27-1837,TCGA-27-2519,TCGA-27-2521,TCGA-27-2523,TCGA-27-2524,TCGA-27-2526,TCGA-27-2528,TCGA-28-1747,TCGA-28-1753,TCGA-28-2499,TCGA-28-2509,TCGA-28-2510,TCGA-28-2513,TCGA-28-2514,TCGA-28-5204,TCGA-28-5207,TCGA-28-5208,TCGA-28-5209,TCGA-28-5213,TCGA-28-5215,TCGA-28-5216,TCGA-28-5218,TCGA-28-5220,TCGA-32-1970,TCGA-32-1980,TCGA-32-1982,TCGA-32-2615,TCGA-32-2616,TCGA-32-2632,TCGA-32-2634,TCGA-32-2638,TCGA-32-4213,TCGA-32-5222,TCGA-41-2571,TCGA-41-2572,TCGA-41-3915,TCGA-41-4097,TCGA-41-5651,TCGA-76-4925,TCGA-76-4926,TCGA-76-4927,TCGA-76-4928,TCGA-76-4929,TCGA-76-4931,TCGA-76-4932
TCGA-06-0878,0.38571428571428573,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.5217391304347826,0.14285714285714285,0.38235294117647056,0.463768115942029,0.2714285714285714,0.5972222222222222,0.04411764705882353,0.0958904109589041,0.16923076923076924,0.46153846153846156,0.014285714285714285,0.17391304347826086,0.015873015873015872,0.28169014084507044,0.14705882352941177,0.44776119402985076,0.4264705882352941,0.0958904109589041,0.5373134328358209,0.463768115942029,0.391304347826087,0.4931506849315068,0.014492753623188406,0.39436619718309857,0.6376811594202898,0.373134328358209,0.041666666666666664,0.18032786885245902,1.0,0.09090909090909091,0.04285714285714286,0.4788732394366197,0.09722222222222222,0.07936507936507936,0.14705882352941177,0.42424242424242425,0.2318840579710145,0.5142857142857142,0.045454545454545456,0.09090909090909091,0.3088235294117647,0.3835616438356164,0.48484848484848486,0.4852941176470588,0.11428571428571428,0.07142857142857142,0.3472222222222222,0.5555555555555556,0.5942028985507246,0.45454545454545453,0.38571428571428573,0.1774193548387097,0.15789473684210525,0.06060606060606061,0.547945205479452,0.4166666666666667,0.16901408450704225,0.09090909090909091,0.2835820895522388,0.3717948717948718,0.10666666666666667,0.5857142857142857,0.18666666666666668,0.5138888888888888,0.4583333333333333,0.5606060606060606,0.14084507042253522,0.3283582089552239,0.04411764705882353,0.030303030303030304,0.3939393939393939,0.352112676056338,0.0,0.48484848484848486,0.3582089552238806,0.582089552238806,0.05970149253731343,0.0958904109589041,0.11267605633802817,0.0,0.3888888888888889,0.05970149253731343,0.49230769230769234,0.11764705882352941,0.1323529411764706,0.015625,0.36363636363636365,0.4117647058823529,0.6086956521739131,0.37681159420289856,0.5735294117647058,0.3492063492063492,0.5072463768115942,0.5,0.3387096774193548,0.07692307692307693,0.07547169811320754,0.07246376811594203,0.6417910447761194,0.1780821917808219,0.07575757575757576,0.07042253521126761,0.04225352112676056,0.3333333333333333,0.5625,0.1,0.1323529411764706,0.13846153846153847,0.18309859154929578,0.06060606060606061,0.6056338028169014,0.06349206349206349,0.15384615384615385,0.4393939393939394,0.4264705882352941,0.5753424657534246,0.08571428571428572,0.47058823529411764,0.057971014492753624,0.15384615384615385,0.4307692307692308,0.1388888888888889,0.5428571428571428,0.578125,0.13432835820895522,0.19117647058823528,0.058823529411764705,0.5882352941176471,0.27941176470588236,0.3880597014925373,0.08955223880597014,0.52,0.15492957746478872,0.125,0.1267605633802817,0.3787878787878788,0.1,0.10294117647058823,0.32857142857142857,0.14492753623188406,0.1643835616438356,0.014925373134328358,0.36363636363636365,0.390625,0.04054054054054054,0.6
TCGA-06-0882,0.10810810810810811,0.7916666666666666,0.0,0.0,0.13513513513513514,0.041666666666666664,0.0,0.014084507042253521,0.12162162162162163,0.09333333333333334,0.2714285714285714,0.025974025974025976,0.8787878787878788,0.1267605633802817,0.76,0.8028169014084507,0.6911764705882353,0.0,0.014492753623188406,0.2222222222222222,0.027777777777777776,0.7837837837837838,0.15942028985507245,0.1232876712328767,0.18571428571428572,0.08974358974358974,0.6216216216216216,0.013333333333333334,0.125,0.22058823529411764,0.29333333333333333,0.0,0.09090909090909091,1.0,0.02702702702702703,0.0,0.782051282051282,0.5857142857142857,0.0,0.028985507246376812,0.0,0.16901408450704225,0.36764705882352944,0.0,0.0,0.0,0.014705882352941176,0.02857142857142857,0.8333333333333334,0.863013698630137,0.14666666666666667,0.07692307692307693,0.15942028985507245,0.0,0.0,0.8676470588235294,0.0,0.7681159420289855,0.13333333333333333,0.013888888888888888,0.013513513513513514,0.7857142857142857,0.0,0.11392405063291139,0.918918918918919,0.14864864864864866,0.0,0.01282051282051282,0.20833333333333334,0.1044776119402985,0.9066666666666666,0.1,0.014084507042253521,0.014492753623188406,0.0,0.0,0.7297297297297297,0.21428571428571427,0.0,0.125,0.02857142857142857,0.012987012987012988,0.7464788732394366,0.6621621621621622,0.0136986301369863,0.7671232876712328,0.1791044776119403,0.043478260869565216,0.0,0.7285714285714285,0.2,0.028985507246376812,0.16,0.0,0.04054054054054054,0.0,0.0547945205479452,0.0958904109589041,0.014705882352941176,0.014705882352941176,0.7457627118644068,0.028169014084507043,0.125,0.8552631578947368,0.014492753623188406,0.5277777777777778,0.7733333333333333,0.028169014084507043,0.20588235294117646,0.7638888888888888,0.9436619718309859,0.0,0.0,0.7611940298507462,0.0958904109589041,0.7164179104477612,0.23943661971830985,0.2112676056338028,0.09859154929577464,0.12,0.0,0.08108108108108109,0.15714285714285714,0.0,0.0,0.684931506849315,0.0,0.08695652173913043,0.0,0.013888888888888888,0.6,0.11594202898550725,0.19718309859154928,0.17647058823529413,0.8714285714285714,0.16666666666666666,0.8533333333333334,0.8484848484848485,0.8961038961038961,0.11428571428571428,0.7638888888888888,0.7567567567567568,0.12,0.5753424657534246,0.0,0.4084507042253521,0.1095890410958904,0.030303030303030304,0.37662337662337664,0.14084507042253522
TCGA-06-1804,0.02702702702702703,0.014492753623188406,0.0,0.7428571428571429,0.07246376811594203,0.8769230769230769,0.0,0.0,0.5797101449275363,0.0273972602739726,0.7384615384615385,0.8918918918918919,0.016129032258064516,0.04477611940298507,0.0,0.014285714285714285,0.0,0.013888888888888888,0.8923076923076924,0.16923076923076924,0.0,0.0,0.07575757575757576,0.08823529411764706,0.15151515151515152,0.028985507246376812,0.34328358208955223,0.0,0.029850746268656716,0.09836065573770492,0.6865671641791045,0.8870967741935484,0.04285714285714286,0.02702702702702703,1.0,0.0,0.0,0.015384615384615385,0.8769230769230769,0.07575757575757576,0.47761194029850745,0.046875,0.6060606060606061,0.8870967741935484,0.015384615384615385,0.014285714285714285,0.03225806451612903,0.015625,0.0,0.0,0.04225352112676056,0.05714285714285714,0.06349206349206349,0.0,0.014285714285714285,0.0,0.8918918918918919,0.015625,0.05555555555555555,0.015151515151515152,0.9,0.0,0.2537313432835821,0.0684931506849315,0.027777777777777776,0.11267605633802817,0.8767123287671232,0.013513513513513514,0.1076923076923077,0.07575757575757576,0.014084507042253521,0.21875,0.84375,0.9264705882352942,0.0,0.0,0.18309859154929578,0.046875,0.015873015873015872,0.043478260869565216,0.9848484848484849,0.9,0.0,0.35294117647058826,0.014492753623188406,0.0,0.08196721311475409,0.9076923076923077,0.8636363636363636,0.078125,0.109375,0.11764705882352941,0.028985507246376812,0.0,0.014285714285714285,0.0,0.04411764705882353,0.02857142857142857,0.03125,0.8787878787878788,0.0,0.8970588235294118,0.015384615384615385,0.0,0.7761194029850746,0.40298507462686567,0.0,0.04285714285714286,0.15873015873015872,0.0,0.03125,0.9375,0.8985507246376812,0.0,0.07142857142857142,0.046875,0.6,0.13636363636363635,0.10606060606060606,0.056338028169014086,0.734375,0.046153846153846156,0.8461538461538461,0.8666666666666667,0.03076923076923077,0.0,0.028169014084507043,0.0625,0.37681159420289856,0.47058823529411764,0.390625,0.015151515151515152,0.015625,0.05970149253731343,0.06153846153846154,0.08108108108108109,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.043478260869565216,0.0,0.8695652173913043,0.6176470588235294,0.04477611940298507,0.046875,0.5616438356164384,0.09230769230769231
TCGA-06-2557,0.18309859154929578,0.136986301369863,0.8225806451612904,0.16666666666666666,0.24285714285714285,0.045454545454545456,0.7313432835820896,0.7878787878787878,0.08823529411764706,0.3,0.0,0.02702702702702703,0.06451612903225806,0.234375,0.14492753623188406,0.1044776119402985,0.2,0.6301369863013698,0.046153846153846156,0.10606060606060606,0.7536231884057971,0.17142857142857143,0.22058823529411764,0.2,0.14285714285714285,0.25675675675675674,0.029850746268656716,0.7222222222222222,0.27941176470588236,0.125,0.014285714285714285,0.05,0.4788732394366197,0.0,0.0,1.0,0.1506849315068493,0.2835820895522388,0.07352941176470588,0.3076923076923077,0.36923076923076925,0.25,0.0,0.109375,0.6865671641791045,0.7397260273972602,0.296875,0.3384615384615385,0.109375,0.014705882352941176,0.15714285714285714,0.4189189189189189,0.265625,0.76,0.6857142857142857,0.06349206349206349,0.07894736842105263,0.140625,0.2638888888888889,0.7878787878787878,0.04411764705882353,0.15942028985507245,0.6176470588235294,0.18421052631578946,0.013513513513513514,0.2608695652173913,0.06756756756756757,0.75,0.19696969696969696,0.2903225806451613,0.028169014084507043,0.1791044776119403,0.030303030303030304,0.0,0.7941176470588235,0.7916666666666666,0.056338028169014086,0.203125,0.7910447761194029,0.2571428571428571,0.0,0.0,0.16417910447761194,0.0,0.7083333333333334,0.1791044776119403,0.15625,0.015151515151515152,0.07575757575757576,0.15151515151515152,0.1076923076923077,0.7121212121212122,0.2318840579710145,0.7692307692307693,0.5694444444444444,0.796875,0.3333333333333333,0.23943661971830985,0.6615384615384615,0.0,0.2413793103448276,0.0,0.3076923076923077,0.07042253521126761,0.17647058823529413,0.028169014084507043,0.13513513513513514,0.6911764705882353,0.2153846153846154,0.08695652173913043,0.0,0.06060606060606061,0.08695652173913043,0.18461538461538463,0.3055555555555556,0.15873015873015872,0.09230769230769231,0.10294117647058823,0.13636363636363635,0.38028169014084506,0.19117647058823528,0.2727272727272727,0.0,0.05,0.8125,0.24285714285714285,0.7391304347826086,0.25757575757575757,0.4782608695652174,0.23880597014925373,0.03125,0.3076923076923077,0.5692307692307692,0.2,0.015151515151515152,0.22972972972972974,0.09722222222222222,0.08196721311475409,0.04225352112676056,0.15151515151515152,0.13043478260869565,0.09230769230769231,0.17142857142857143,0.3142857142857143,0.10144927536231885,0.0,0.2,0.6612903225806451,0.0,0.2857142857142857
TCGA-06-2558,0.0,0.9583333333333334,0.22580645161290322,0.0958904109589041,0.013888888888888888,0.02857142857142857,0.18461538461538463,0.14705882352941177,0.02857142857142857,0.0136986301369863,0.23880597014925373,0.013513513513513514,0.765625,0.0,0.8823529411764706,0.7536231884057971,0.8769230769230769,0.136986301369863,0.014492753623188406,0.04285714285714286,0.25,0.9577464788732394,0.029850746268656716,0.02857142857142857,0.029850746268656716,0.013513513513513514,0.6956521739130435,0.2222222222222222,0.02857142857142857,0.03225806451612903,0.29577464788732394,0.0,0.09722222222222222,0.782051282051282,0.0,0.1506849315068493,1.0,0.835820895522388,0.0,0.015873015873015872,0.14492753623188406,0.04411764705882353,0.3384615384615385,0.06451612903225806,0.11940298507462686,0.1917808219178082,0.014925373134328358,0.0,0.746268656716418,0.7536231884057971,0.041666666666666664,0.028169014084507043,0.046153846153846156,0.18181818181818182,0.19718309859154928,0.7727272727272727,0.0,0.9242424242424242,0.0684931506849315,0.16176470588235295,0.014492753623188406,0.9850746268656716,0.15714285714285714,0.02631578947368421,0.7428571428571429,0.014084507042253521,0.0,0.13333333333333333,0.014705882352941176,0.015151515151515152,0.75,0.015384615384615385,0.0,0.015384615384615385,0.22058823529411764,0.1917808219178082,0.7714285714285715,0.06060606060606061,0.2028985507246377,0.028169014084507043,0.014492753623188406,0.0136986301369863,0.9264705882352942,0.6231884057971014,0.22535211267605634,0.9571428571428572,0.031746031746031744,0.029850746268656716,0.0,0.8955223880597015,0.04477611940298507,0.22388059701492538,0.0410958904109589,0.19402985074626866,0.041666666666666664,0.1935483870967742,0.0,0.0,0.2222222222222222,0.03076923076923077,0.9298245614035088,0.02857142857142857,0.04411764705882353,0.7297297297297297,0.11594202898550725,0.5070422535211268,0.9436619718309859,0.21428571428571427,0.046153846153846156,0.7205882352941176,0.7424242424242424,0.0,0.0,0.9230769230769231,0.04285714285714286,0.8939393939393939,0.36923076923076925,0.04477611940298507,0.015384615384615385,0.027777777777777776,0.05714285714285714,0.030303030303030304,0.16923076923076924,0.0,0.20588235294117646,0.8695652173913043,0.11267605633802817,0.014705882352941176,0.17647058823529413,0.043478260869565216,0.5757575757575758,0.014492753623188406,0.3870967741935484,0.015384615384615385,0.7058823529411765,0.02666666666666667,0.7808219178082192,0.7076923076923077,0.7714285714285715,0.029411764705882353,0.9565217391304348,0.7536231884057971,0.014084507042253521,0.7794117647058824,0.0,0.4117647058823529,0.0,0.2459016393442623,0.3888888888888889,0.05714285714285714
TCGA-06-2559,0.045454545454545456,0.8360655737704918,0.2833333333333333,0.13432835820895522,0.0,0.01639344262295082,0.36065573770491804,0.2542372881355932,0.014705882352941176,0.015151515151515152,0.16393442622950818,0.0,0.543859649122807,0.03333333333333333,0.7903225806451613,0.6,0.7833333333333333,0.30303030303030304,0.015873015873015872,0.016129032258064516,0.359375,0.8412698412698413,0.0,0.01639344262295082,0.03278688524590164,0.04411764705882353,0.6507936507936508,0.3787878787878788,0.0,0.016666666666666666,0.1774193548387097,0.0,0.07936507936507936,0.5857142857142857,0.015384615384615385,0.2835820895522388,0.835820895522388,1.0,0.0,0.017241379310344827,0.26229508196721313,0.015873015873015872,0.29508196721311475,0.09090909090909091,0.288135593220339,0.4153846153846154,0.0,0.0,0.6229508196721312,0.5967741935483871,0.043478260869565216,0.029850746268656716,0.0,0.34782608695652173,0.4,0.6101694915254238,0.0,0.85,0.029850746268656716,0.3114754098360656,0.0,0.7936507936507936,0.2923076923076923,0.04477611940298507,0.6,0.046875,0.0,0.2463768115942029,0.015625,0.017241379310344827,0.6031746031746031,0.0,0.0,0.034482758620689655,0.32786885245901637,0.328125,0.65625,0.0,0.328125,0.016129032258064516,0.03225806451612903,0.015151515151515152,0.7966101694915254,0.5238095238095238,0.3492063492063492,0.8095238095238095,0.017241379310344827,0.01694915254237288,0.0,0.8688524590163934,0.04918032786885246,0.3275862068965517,0.0,0.3275862068965517,0.1076923076923077,0.3225806451612903,0.03225806451612903,0.015384615384615385,0.3870967741935484,0.01639344262295082,0.7659574468085106,0.015873015873015872,0.01694915254237288,0.609375,0.16129032258064516,0.38461538461538464,0.8142857142857143,0.375,0.0,0.5967741935483871,0.5967741935483871,0.0,0.0,0.8095238095238095,0.016129032258064516,0.8064516129032258,0.26229508196721313,0.0,0.03278688524590164,0.015625,0.1111111111111111,0.016129032258064516,0.12903225806451613,0.0,0.3442622950819672,0.7777777777777778,0.24193548387096775,0.03389830508474576,0.3064516129032258,0.07936507936507936,0.45,0.0,0.5084745762711864,0.017241379310344827,0.6,0.014492753623188406,0.6349206349206349,0.5636363636363636,0.6119402985074627,0.047619047619047616,0.8125,0.6,0.03225806451612903,0.796875,0.015873015873015872,0.36065573770491804,0.046875,0.39285714285714285,0.28125,0.016129032258064516
TCGA-06-2561,0.046153846153846156,0.0,0.07017543859649122,0.71875,0.08955223880597014,0.8709677419354839,0.015873015873015872,0.06557377049180328,0.6716417910447762,0.15384615384615385,0.6984126984126984,0.8939393939393939,0.03389830508474576,0.15254237288135594,0.0,0.046153846153846156,0.0,0.0,0.9076923076923077,0.0967741935483871,0.05084745762711865,0.014925373134328358,0.16666666666666666,0.07692307692307693,0.03389830508474576,0.1323529411764706,0.328125,0.014492753623188406,0.12698412698412698,0.10526315789473684,0.7014925373134329,0.9152542372881356,0.14705882352941177,0.0,0.8769230769230769,0.07352941176470588,0.0,0.0,1.0,0.06896551724137931,0.5423728813559322,0.06557377049180328,0.576271186440678,0.85,0.0,0.0,0.11666666666666667,0.11290322580645161,0.05,0.0,0.045454545454545456,0.15384615384615385,0.13114754098360656,0.09722222222222222,0.0,0.01818181818181818,0.9714285714285714,0.0,0.21875,0.08064516129032258,0.9032258064516129,0.0,0.31666666666666665,0.043478260869565216,0.0,0.09375,0.9420289855072463,0.13636363636363635,0.06557377049180328,0.13559322033898305,0.031746031746031744,0.2982456140350877,0.765625,0.8064516129032258,0.05,0.03076923076923077,0.19402985074626866,0.06349206349206349,0.09375,0.14754098360655737,0.8305084745762712,0.8529411764705882,0.03225806451612903,0.3064516129032258,0.046875,0.0,0.0847457627118644,0.8688524590163934,0.9344262295081968,0.1,0.05084745762711865,0.13114754098360656,0.109375,0.10526315789473684,0.12307692307692308,0.05263157894736842,0.15873015873015872,0.13432835820895522,0.0,0.8448275862068966,0.0,0.8166666666666667,0.13793103448275862,0.03076923076923077,0.7741935483870968,0.4603174603174603,0.0,0.015873015873015872,0.09836065573770492,0.0,0.017241379310344827,0.9344262295081968,0.9516129032258065,0.031746031746031744,0.1746031746031746,0.06779661016949153,0.6440677966101694,0.04918032786885246,0.06557377049180328,0.109375,0.7301587301587301,0.06779661016949153,0.7936507936507936,0.9272727272727272,0.06557377049180328,0.031746031746031744,0.14285714285714285,0.11864406779661017,0.39344262295081966,0.47619047619047616,0.4,0.14754098360655737,0.0,0.06779661016949153,0.047619047619047616,0.11764705882352941,0.029850746268656716,0.01818181818181818,0.0,0.06557377049180328,0.01639344262295082,0.0,0.06153846153846154,0.015625,0.9384615384615385,0.546875,0.06557377049180328,0.03508771929824561,0.6515151515151515,0.14285714285714285
TCGA-06-2562,0.46875,0.015873015873015872,0.22033898305084745,0.0625,0.578125,0.06451612903225806,0.1935483870967742,0.2857142857142857,0.0967741935483871,0.546875,0.0,0.046153846153846156,0.05357142857142857,0.5245901639344263,0.0967741935483871,0.08064516129032258,0.15254237288135594,0.3235294117647059,0.06557377049180328,0.43333333333333335,0.19047619047619047,0.0,0.4838709677419355,0.5076923076923077,0.559322033898305,0.515625,0.0,0.1875,0.5081967213114754,0.5178571428571429,0.015625,0.11864406779661017,0.42424242424242425,0.028985507246376812,0.07575757575757576,0.3076923076923077,0.015873015873015872,0.017241379310344827,0.06896551724137931,1.0,0.05,0.5245901639344263,0.0,0.0,0.43548387096774194,0.19696969696969696,0.7333333333333333,0.7258064516129032,0.06349206349206349,0.20634920634920634,0.5,0.5074626865671642,0.4666666666666667,0.22388059701492538,0.19047619047619047,0.03571428571428571,0.07352941176470588,0.03333333333333333,0.5151515151515151,0.21212121212121213,0.08064516129032258,0.015873015873015872,0.1746031746031746,0.5507246376811594,0.030303030303030304,0.484375,0.057971014492753624,0.31343283582089554,0.5161290322580645,0.5689655172413793,0.015873015873015872,0.4406779661016949,0.21666666666666667,0.13333333333333333,0.25806451612903225,0.35384615384615387,0.046153846153846156,0.5737704918032787,0.23728813559322035,0.4918032786885246,0.10344827586206896,0.05970149253731343,0.015384615384615385,0.0,0.234375,0.03278688524590164,0.5245901639344263,0.04918032786885246,0.04918032786885246,0.01694915254237288,0.55,0.1746031746031746,0.46875,0.22950819672131148,0.45454545454545453,0.3559322033898305,0.5333333333333333,0.5074626865671642,0.24561403508771928,0.06779661016949153,0.0,0.0625,0.5245901639344263,0.08823529411764706,0.01694915254237288,0.06451612903225806,0.015151515151515152,0.2459016393442623,0.5161290322580645,0.208955223880597,0.03125,0.1016949152542373,0.09523809523809523,0.01639344262295082,0.49206349206349204,0.017241379310344827,0.03389830508474576,0.5483870967741935,0.515625,0.53125,0.03125,0.6935483870967742,0.0,0.07017543859649122,0.22950819672131148,0.0625,0.328125,0.55,0.125,0.3709677419354839,0.03278688524590164,0.5555555555555556,0.1864406779661017,0.5166666666666667,0.07936507936507936,0.4714285714285714,0.078125,0.10344827586206896,0.047619047619047616,0.46875,0.03278688524590164,0.20634920634920634,0.5,0.047619047619047616,0.030303030303030304,0.015873015873015872,0.5084745762711864,0.29310344827586204,0.0,0.4918032786885246
TCGA-06-2563,0.0,0.1111111111111111,0.5263157894736842,0.5942028985507246,0.015873015873015872,0.4852941176470588,0.4603174603174603,0.453125,0.38461538461538464,0.057971014492753624,0.4375,0.5507246376811594,0.034482758620689655,0.0,0.09523809523809523,0.078125,0.13559322033898305,0.373134328358209,0.47619047619047616,0.0,0.5151515151515151,0.10606060606060606,0.06349206349206349,0.0,0.0,0.05970149253731343,0.2857142857142857,0.48484848484848486,0.07936507936507936,0.0,0.4603174603174603,0.559322033898305,0.2318840579710145,0.0,0.47761194029850745,0.36923076923076925,0.14492753623188406,0.26229508196721313,0.5423728813559322,0.05,1.0,0.0,0.36363636363636365,0.6229508196721312,0.390625,0.45454545454545453,0.015625,0.0,0.043478260869565216,0.0,0.0,0.14492753623188406,0.04838709677419355,0.4657534246575342,0.4626865671641791,0.01639344262295082,0.5675675675675675,0.0967741935483871,0.08823529411764706,0.48484848484848486,0.5076923076923077,0.109375,0.6716417910447762,0.0,0.0,0.03076923076923077,0.582089552238806,0.38235294117647056,0.015873015873015872,0.04838709677419355,0.046153846153846156,0.13793103448275862,0.43333333333333335,0.5384615384615384,0.4307692307692308,0.4626865671641791,0.11940298507462686,0.0,0.5,0.029411764705882353,0.4375,0.4925373134328358,0.14285714285714285,0.20634920634920634,0.46153846153846156,0.12698412698412698,0.01694915254237288,0.5,0.5409836065573771,0.25,0.0,0.5384615384615384,0.031746031746031744,0.5,0.3076923076923077,0.47540983606557374,0.03125,0.029411764705882353,0.4666666666666667,0.47540983606557374,0.07407407407407407,0.5,0.10606060606060606,0.02857142857142857,0.7258064516129032,0.31746031746031744,0.10606060606060606,0.421875,0.01639344262295082,0.015384615384615385,0.015384615384615385,0.55,0.5151515151515151,0.11475409836065574,0.0625,0.20967741935483872,0.484375,0.01639344262295082,0.0,0.11764705882352941,0.625,0.03225806451612903,0.45,0.5172413793103449,0.5,0.15151515151515152,0.3939393939393939,0.0967741935483871,0.6129032258064516,0.38461538461538464,0.2786885245901639,0.06153846153846154,0.3770491803278688,0.0,0.015384615384615385,0.028169014084507043,0.046153846153846156,0.017543859649122806,0.0,0.0,0.12698412698412698,0.03278688524590164,0.0,0.2222222222222222,0.5714285714285714,0.3387096774193548,0.0,0.43333333333333335,0.37681159420289856,0.06451612903225806
TCGA-06-2564,0.7352941176470589,0.015625,0.05084745762711865,0.030303030303030304,0.8787878787878788,0.140625,0.07936507936507936,0.06557377049180328,0.3088235294117647,0.8636363636363636,0.015873015873015872,0.07462686567164178,0.18333333333333332,0.8333333333333334,0.0,0.14516129032258066,0.0,0.029850746268656716,0.109375,0.8852459016393442,0.1076923076923077,0.0,0.90625,0.890625,0.78125,0.7681159420289855,0.015873015873015872,0.04477611940298507,0.8888888888888888,0.8305084745762712,0.029411764705882353,0.1,0.5142857142857142,0.16901408450704225,0.046875,0.25,0.04411764705882353,0.015873015873015872,0.06557377049180328,0.5245901639344263,0.0,1.0,0.0,0.06451612903225806,0.03225806451612903,0.029850746268656716,0.7619047619047619,0.746031746031746,0.15873015873015872,0.058823529411764705,0.7101449275362319,0.6470588235294118,0.9047619047619048,0.056338028169014086,0.06349206349206349,0.25862068965517243,0.11267605633802817,0.0,0.8260869565217391,0.09375,0.13846153846153847,0.03225806451612903,0.0,0.6956521739130435,0.18181818181818182,0.84375,0.08450704225352113,0.1791044776119403,0.9076923076923077,0.8095238095238095,0.16923076923076924,0.5967741935483871,0.016129032258064516,0.03225806451612903,0.06557377049180328,0.015873015873015872,0.0,0.84375,0.046153846153846156,0.8153846153846154,0.0625,0.09090909090909091,0.015625,0.0,0.11940298507462686,0.015384615384615385,0.8666666666666667,0.16666666666666666,0.078125,0.0,0.7619047619047619,0.031746031746031744,0.875,0.031746031746031744,0.2857142857142857,0.03333333333333333,0.7538461538461538,0.7761194029850746,0.05084745762711865,0.06349206349206349,0.02,0.06060606060606061,0.8253968253968254,0.17647058823529413,0.016129032258064516,0.031746031746031744,0.04477611940298507,0.06451612903225806,0.8870967741935484,0.11475409836065574,0.1935483870967742,0.08333333333333333,0.09375,0.015873015873015872,0.84375,0.015873015873015872,0.03333333333333333,0.828125,0.75,0.6818181818181818,0.030303030303030304,0.7384615384615385,0.03225806451612903,0.13333333333333333,0.016129032258064516,0.0,0.12698412698412698,0.7580645161290323,0.016129032258064516,0.16923076923076924,0.016129032258064516,0.8688524590163934,0.0,0.7166666666666667,0.12698412698412698,0.9014084507042254,0.125,0.2,0.16176470588235295,0.7377049180327869,0.015625,0.10294117647058823,0.6923076923076923,0.014925373134328358,0.10144927536231885,0.0,0.6923076923076923,0.06896551724137931,0.0,0.8571428571428571
